index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Category,indice,Cambio,avScGrpUniPresent,avScGrpUniPresent_LEAD,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Similarity,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo,RegionGo2,Similarity_LAG1
4802,825-534,3,825-534PL1,Absent,35554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,20,0,0,0,0,0,3,2,0,0,0,25,27,24,1,4,36,37,35,26,22,23,14,28,15,19,33,7,8,9,12,29,16,32,34,6,11,10,13,30,17,31,5,13,19,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,4802,0,16.557488653555218,16.557488653555218,-115,0.88125,36,0.5625,64,0.171875,0.703125,0.8888888888888888,,,,,RS,RS,
4803,825-534,4,825-534PL1,Absent,38957,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3,23,0,24,0,0,0,0,0,40,22,42,14,13,0,21,0,39,41,15,8,6,11,0,33,0,34,16,5,7,12,44,0,35,36,0,9,10,43,32,31,38,37,17,25,26,19,0,0,4,18,29,28,27,30,20,2,-10,42,Unicorn_Absent,-1,-1,Unicorn_Absent,RS,4803,0,16.557488653555218,16.557488653555218,-125,0.7375,44,0.6,63,0.11428571428571432,0.328125,0.6875,0.88125,0.5625,0.171875,19.0,RS,DOWN,0.8888888888888888
4804,825-534,5,825-534PL1,Absent,23873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,36,37,1,0,0,0,33,32,29,23,24,25,27,28,34,31,30,22,21,20,19,18,10,11,12,13,14,15,16,17,2,9,7,8,6,5,4,3,21,11,Unicorn_Absent,-1,-1,Unicorn_Present,RS,4804,0,16.557488653555218,30.0,-104,0.93125,36,0.6326530612244898,64,0.006691201070592179,0.828125,0.8888888888888888,0.7375,0.6,0.11428571428571432,42.0,DOWN,DOWN,0.6875
4809,825-534,10,825-534PL1,Absent,19857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,30,29,28,27,26,25,17,16,15,14,13,12,18,21,2,3,6,7,10,11,19,20,1,4,5,8,9,24,23,22,29,3,Unicorn_Absent,-1,-1,Unicorn_Present,DOWN,4809,0,16.557488653555218,32.0,-75,0.98125,32,0.8888888888888888,64,0.008547008547008628,0.953125,1.0,0.93125,0.6326530612244898,0.006691201070592179,11.0,DOWN,DOWN,0.8888888888888888
4812,825-534,13,825-534PL1,Absent,16479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,28,29,30,31,0,0,25,24,22,23,21,19,20,18,2,3,6,7,11,10,14,15,1,4,5,8,12,9,16,17,30,2,Unicorn_Absent,-1,-1,Unicorn_Absent,DOWN,4812,0,16.557488653555218,16.557488653555218,-45,0.9875,30,0.9375,62,0.03392857142857142,0.9375,0.9375,0.98125,0.8888888888888888,0.008547008547008628,3.0,DOWN,RS,1.0
4813,825-534,14,825-534PL1,Absent,18880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,36,30,29,31,32,1,33,34,35,27,28,2,12,11,9,8,15,26,23,3,13,4,5,6,14,25,24,22,21,20,19,17,16,30,2,Unicorn_Absent,-1,-1,Unicorn_Absent,DOWN,4813,0,16.557488653555218,16.557488653555218,-15,0.9875,34,0.8823529411764706,63,0.029411764705882363,0.953125,0.9411764705882352,0.9875,0.9375,0.03392857142857142,2.0,RS,DOWN,0.9375
4814,825-534,15,825-534PL1,Absent,23159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,37,38,0,0,0,0,34,31,30,25,24,21,19,20,33,32,29,27,23,22,18,17,2,3,6,7,12,10,13,16,1,4,5,8,9,11,14,15,29,3,Unicorn_Absent,-1,-1,Unicorn_Present,RS,4814,0,16.557488653555218,32.0,14,0.98125,36,0.8421052631578947,64,0.09539473684210532,0.953125,0.8888888888888888,0.9875,0.8823529411764706,0.029411764705882363,2.0,DOWN,DOWN,0.9411764705882352
4817,825-534,18,825-534PL1,Absent,18656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,29,27,26,25,17,19,18,20,21,22,23,24,15,16,14,13,11,12,10,9,2,1,3,4,5,6,8,7,29,3,Unicorn_Absent,-1,-1,Unicorn_Present,DOWN,4817,0,16.557488653555218,31.0,43,0.98125,29,0.8055555555555556,64,0.036324786324786314,0.953125,0.90625,0.98125,0.8421052631578947,0.09539473684210532,3.0,DOWN,DOWN,0.8888888888888888
4819,825-534,20,825-534PL1,Absent,15825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,37,30,28,24,23,31,32,35,36,27,29,26,22,19,21,18,20,4,3,25,8,9,13,14,17,1,2,6,7,11,12,15,16,27,5,Unicorn_Absent,-1,-1,Unicorn_Absent,DOWN,4819,0,16.557488653555218,16.557488653555218,70,0.96875,35,0.8285714285714286,64,0.06616541353383454,0.921875,0.9142857142857144,0.98125,0.8055555555555556,0.036324786324786314,3.0,DOWN,DOWN,0.90625
4820,825-534,21,825-534PL1,Absent,17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,36,37,0,0,0,0,0,34,33,32,30,29,28,27,26,18,19,20,21,23,22,25,24,17,16,15,14,13,12,11,9,1,2,3,4,5,6,8,10,28,4,Unicorn_Absent,-1,-1,Unicorn_Absent,DOWN,4820,0,16.557488653555218,16.557488653555218,98,0.975,35,0.8421052631578947,64,0.12848297213622295,0.9375,0.9142857142857144,0.96875,0.8285714285714286,0.06616541353383454,5.0,DOWN,DOWN,0.9142857142857144
